"eenheid","label"
"http://data.lblod.info/id/bestuurseenheden/e3e940903cbd7fb41b9dae05802d6823330897b4889abb4bcb53d7e6dcd92ef6","Zwevegem"
"http://data.lblod.info/id/bestuurseenheden/79e613965c6300bb08395a2ed56c1532bda0cef4da031ad5ba630313454937a2","Willebroek"
"http://data.lblod.info/id/bestuurseenheden/037bf2c12d939fa29aa5c77dc274b32ed7ac29ba9be068e36b0da950226d5c61","Herentals"
"http://data.lblod.info/id/bestuurseenheden/99551d67fc22a429595d9fac5dba1babd38cbd823c7ea107b73382c30787b6c9","Herenthout"
"http://data.lblod.info/id/bestuurseenheden/aca53cf11877dbe2f303722b110a86c835148ff4a167c30654ea9dd008c9f2a1","Zottegem"
"http://data.lblod.info/id/bestuurseenheden/6e7a231f4734064a38a6e347d978a5ec06bcbf1f749820791ac6bfa301be9aa1","Retie"
"http://data.lblod.info/id/bestuurseenheden/2e6b922d4f84f378b341c2b0d1bc61f4c64e2ef726dfb7f9e863752dc8f7cdc3","Ardooie"
"http://data.lblod.info/id/bestuurseenheden/f5077ea4d13ee6d74749b2d9e7de428b0633388a10b436984859021cf62731b9","Neerpelt"
"http://data.lblod.info/id/bestuurseenheden/76ac18db79a6c10285e73d9c2d713908dc4ea9c8db0e537cd66b7dffd3f08c4f","Izegem"
"http://data.lblod.info/id/bestuurseenheden/af8b2789c75950ed882332410124b5247259ad7142e77ea1fdecd05dbc53a848","Schelle"
"http://data.lblod.info/id/bestuurseenheden/3241773b6e80720538692a56fd4433c622115aefc8610d185365df478a09dc31","Grimbergen"
"http://data.lblod.info/id/bestuurseenheden/628de4b148e9c3a540d42ee4d6fa98810d8016ed13bd396c9f80bf432a3e203d","Deerlijk"
"http://data.lblod.info/id/bestuurseenheden/64a615714901b84561abd58d820d61c2e22e89ef6878170e225d45639caf7d38","Herzele"
"http://data.lblod.info/id/bestuurseenheden/c3254bf9b0bde0f1a34e51d08f04324ce18cc2e4a80a8b3a3efc7eddc610b01b","Bierbeek"
"http://data.lblod.info/id/bestuurseenheden/204f9fe956eaf101f6e268a5403ad8494d7ed532d5fb7ea7334543b1e5cb916e","Eeklo"
"http://data.lblod.info/id/bestuurseenheden/c0bc99ef7235a43123f0b0f751d2851b9218c8790f6eba4b921960cf464f55ca","Ledegem"
"http://data.lblod.info/id/bestuurseenheden/917225cf1e7f6ab53fd4ca406520697df38381e3a58b3d18a126b651bc9855c6","Halen"
"http://data.lblod.info/id/bestuurseenheden/96748b96756c2dd9b57dc046596f9b1d18fc127d04cf92966021724e98ebe80d","Bornem"
"http://data.lblod.info/id/bestuurseenheden/be274f73ffbd75a9cf28222f45044f468b40692ca9c80c8c5899acf554498e24","Sint-Amands"
"http://data.lblod.info/id/bestuurseenheden/bddcbf81e8263f5d147e750f760e9e62242331ed8036eac8e521cea2d738918a","Kuurne"
"http://data.lblod.info/id/bestuurseenheden/ba64836606bc59e1334a787a10e97766268fd98e0dc834175963acb182ad16eb","Lubbeek"
"http://data.lblod.info/id/bestuurseenheden/09236fa913f37184d201c3cbde96f83cdedde977846fff7f366bb36207acf92c","Buggenhout"
"http://data.lblod.info/id/bestuurseenheden/5949ac1a19026206ebdc67b4e1a63416bc0f4fa25615295f185fc3fd5b5181e1","Kasterlee"
"http://data.lblod.info/id/bestuurseenheden/d3abb7a0aa838ba5641cdce07c61803659ee32e66ecf4710d719eb98ddf0c8dc","Boutersem"
"http://data.lblod.info/id/bestuurseenheden/11228df4ed78cc6b5c688c561570fa3b2a609540db8482a2866a8ed0cc398b08","Sint-Truiden"
"http://data.lblod.info/id/bestuurseenheden/12024280b02353961269940c14f4a2085b0befefa81d5f12fa967126d1f6accf","Bocholt"
"http://data.lblod.info/id/bestuurseenheden/d158db91a7497ab1ae9d2b07d7dddef323169ae483f6314dfd5ee3e9e1393de2","Kapelle-op-den-Bos"
"http://data.lblod.info/id/bestuurseenheden/f7ff1fdfec6a85c01e57c37039a91563d75b246bd69f30d4099999d93a0abc02","Kampenhout"
"http://data.lblod.info/id/bestuurseenheden/257500ff9a8b2ae62dcd338528143ba271d41d1f35cf74d9c0e575e1f3a6cad9","Oostkamp"
"http://data.lblod.info/id/bestuurseenheden/04895013fe6301f32aa46deae98abfb833a717ece5a33b6c453674c6d0f4cc5e","Melle"
"http://data.lblod.info/id/bestuurseenheden/c6ae77be4aa72cb5f9ebe979e788106a353d48a3569fac740a78fa47fd1a1c72","Wijnegem"
"http://data.lblod.info/id/bestuurseenheden/7c64f3e2c9830891e559f203dd2cc0c065617bbd2b91d1e380d10a8521cdb7a0","Knokke-Heist"
"http://data.lblod.info/id/bestuurseenheden/02874f3269bf1a5d7247dc7b524c6ab73735bd83813312c3f8399d8182517450","Koekelare"
"http://data.lblod.info/id/bestuurseenheden/ac2061ba8bf8c0658d7251c0fd2ee255e71f4b41d97ba156fbb004c55509ff4d","Zoutleeuw"
"http://data.lblod.info/id/bestuurseenheden/6df8e0bea64384f82abd128b92e92aeeffa4847814c0205ffaf9e772e75bde12","Evergem"
"http://data.lblod.info/id/bestuurseenheden/747d235d067e1f04eb12261b79850098ba93cdd3522cb75bd84e4605038bc76a","Alveringem"
"http://data.lblod.info/id/bestuurseenheden/b79f87dd99048218d7ae8c9822b56ba2ca446cad6d020435eee7e960ec7e76ae","Wielsbeke"
